package	op	type	time	size	rows	cols
write.delim	uncompressed	process	101.497453173	1666833417	14776615	11
readr	uncompressed	process	51.196189653000005	1666833417	14776615	11
vroom	uncompressed	process	23.750057707999986	1666833417	14776615	11
data.table	uncompressed	process	9.447891251000016	1666833417	14776615	11
write.delim	xz	process	883.5688155629999	1666833417	14776615	11
readr	xz	process	792.900670898	1666833417	14776615	11
vroom	xz	process	624.416977697	1666833417	14776615	11
write.delim	gzip	process	203.6902040089999	1666833417	14776615	11
readr	gzip	process	122.90358853199996	1666833417	14776615	11
vroom	gzip	process	97.55001884600006	1666833417	14776615	11
write.delim	multithreaded gzip	process	101.38122255099961	1666833417	14776615	11
readr	multithreaded gzip	process	51.72993269100016	1666833417	14776615	11
vroom	multithreaded gzip	process	24.37696308600016	1666833417	14776615	11
write.delim	zstandard	process	100.19247360200006	1666833417	14776615	11
readr	zstandard	process	50.15847460699979	1666833417	14776615	11
vroom	zstandard	process	24.078225387000202	1666833417	14776615	11
write.delim	uncompressed	real	101.51234221458435	1666833417	14776615	11
readr	uncompressed	real	51.2144935131073	1666833417	14776615	11
vroom	uncompressed	real	1.6823856830596924	1666833417	14776615	11
data.table	uncompressed	real	1.219447374343872	1666833417	14776615	11
write.delim	xz	real	883.524022102356	1666833417	14776615	11
readr	xz	real	792.9254560470581	1666833417	14776615	11
vroom	xz	real	603.9081146717072	1666833417	14776615	11
write.delim	gzip	real	203.92217016220093	1666833417	14776615	11
readr	gzip	real	122.90673542022705	1666833417	14776615	11
vroom	gzip	real	77.06673955917358	1666833417	14776615	11
write.delim	multithreaded gzip	real	101.42467045783997	1666833417	14776615	11
readr	multithreaded gzip	real	51.77514457702637	1666833417	14776615	11
vroom	multithreaded gzip	real	8.093023538589478	1666833417	14776615	11
write.delim	zstandard	real	100.2356481552124	1666833417	14776615	11
readr	zstandard	real	50.20167398452759	1666833417	14776615	11
vroom	zstandard	real	12.943242311477661	1666833417	14776615	11
