reading_package	manip_package	op	type	time	size	max_memory	rows	cols
base	gzip	setup	process	35.68969699	1641999923	6567731200	14388451	11
base	gzip	setup	real	14.320015668869019	1641999923	6567731200	14388451	11
base	gzip	writing	process	204.31230971300002	1641999923	6567731200	14388451	11
base	gzip	writing	real	204.3235957622528	1641999923	6567731200	14388451	11
base	multithreaded_gzip	setup	process	35.346863927	1641999923	6567718912	14388451	11
base	multithreaded_gzip	setup	real	14.282429456710815	1641999923	6567718912	14388451	11
base	multithreaded_gzip	writing	process	107.94475484	1641999923	6567718912	14388451	11
base	multithreaded_gzip	writing	real	107.96076703071594	1641999923	6567718912	14388451	11
base	uncompressed	setup	process	34.916448245999995	1641999923	6567751680	14388451	11
base	uncompressed	setup	real	14.223486423492432	1641999923	6567751680	14388451	11
base	uncompressed	writing	process	102.436282698	1641999923	6567751680	14388451	11
base	uncompressed	writing	real	102.46136355400085	1641999923	6567751680	14388451	11
base	zstandard	setup	process	35.449376308	1641999923	6567735296	14388451	11
base	zstandard	setup	real	14.331105947494507	1641999923	6567735296	14388451	11
base	zstandard	writing	process	102.98000483299998	1641999923	6567735296	14388451	11
base	zstandard	writing	real	102.9924943447113	1641999923	6567735296	14388451	11
data.table	gzip	setup	process	34.809351267000004	1641999923	6569893888	14388451	11
data.table	gzip	setup	real	14.191580772399902	1641999923	6569893888	14388451	11
data.table	gzip	writing	process	66.73469051200001	1641999923	6569893888	14388451	11
data.table	gzip	writing	real	66.74246096611023	1641999923	6569893888	14388451	11
data.table	multithreaded_gzip	setup	process	36.004090128	1641999923	7098499072	14388451	11
data.table	multithreaded_gzip	setup	real	14.33112096786499	1641999923	7098499072	14388451	11
data.table	multithreaded_gzip	writing	process	67.199678316	1641999923	7098499072	14388451	11
data.table	multithreaded_gzip	writing	real	8.74103856086731	1641999923	7098499072	14388451	11
data.table	uncompressed	setup	process	36.172697825	1641999923	6628741120	14388451	11
data.table	uncompressed	setup	real	14.282193899154663	1641999923	6628741120	14388451	11
data.table	uncompressed	writing	process	9.459528458000001	1641999923	6628741120	14388451	11
data.table	uncompressed	writing	real	1.5172119140625	1641999923	6628741120	14388451	11
readr	gzip	setup	process	34.322894304	1641999923	6825050112	14388451	11
readr	gzip	setup	real	14.119435548782349	1641999923	6825050112	14388451	11
readr	gzip	writing	process	118.79396412999999	1641999923	6825050112	14388451	11
readr	gzip	writing	real	118.80076956748962	1641999923	6825050112	14388451	11
readr	multithreaded_gzip	setup	process	36.191488801	1641999923	6824542208	14388451	11
readr	multithreaded_gzip	setup	real	14.226377725601196	1641999923	6824542208	14388451	11
readr	multithreaded_gzip	writing	process	50.492317435	1641999923	6824542208	14388451	11
readr	multithreaded_gzip	writing	real	50.5124454498291	1641999923	6824542208	14388451	11
readr	uncompressed	setup	process	35.59598887	1641999923	6824599552	14388451	11
readr	uncompressed	setup	real	14.246237993240356	1641999923	6824599552	14388451	11
readr	uncompressed	writing	process	49.20209362400001	1641999923	6824599552	14388451	11
readr	uncompressed	writing	real	49.220298767089844	1641999923	6824599552	14388451	11
readr	zstandard	setup	process	35.264276218	1641999923	6824546304	14388451	11
readr	zstandard	setup	real	14.257888555526733	1641999923	6824546304	14388451	11
readr	zstandard	writing	process	47.97219317300001	1641999923	6824546304	14388451	11
readr	zstandard	writing	real	47.98754143714905	1641999923	6824546304	14388451	11
vroom	gzip	setup	process	34.278722035	1641999923	7178240000	14388451	11
vroom	gzip	setup	real	14.208735227584839	1641999923	7178240000	14388451	11
vroom	gzip	writing	process	93.082661337	1641999923	7178240000	14388451	11
vroom	gzip	writing	real	73.68327045440674	1641999923	7178240000	14388451	11
vroom	multithreaded_gzip	setup	process	35.628090338999996	1641999923	7177564160	14388451	11
vroom	multithreaded_gzip	setup	real	14.2523672580719	1641999923	7177564160	14388451	11
vroom	multithreaded_gzip	writing	process	23.033821914	1641999923	7177564160	14388451	11
vroom	multithreaded_gzip	writing	real	7.838951826095581	1641999923	7177564160	14388451	11
vroom	uncompressed	setup	process	35.352067465000005	1641999923	7634673664	14388451	11
vroom	uncompressed	setup	real	14.23966121673584	1641999923	7634673664	14388451	11
vroom	uncompressed	writing	process	22.029829934	1641999923	7634673664	14388451	11
vroom	uncompressed	writing	real	1.6465508937835693	1641999923	7634673664	14388451	11
vroom	zstandard	setup	process	35.266297257	1641999923	7177539584	14388451	11
vroom	zstandard	setup	real	14.21680474281311	1641999923	7177539584	14388451	11
vroom	zstandard	writing	process	22.549389585	1641999923	7177539584	14388451	11
vroom	zstandard	writing	real	12.620763540267944	1641999923	7177539584	14388451	11
